,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
2 cm Flak 30 (armata przeciwlotnicza),"['2-cm-Flak 30 (armata przeciwlotnicza)', '2 cm Fliegerabwehrkanone 30 (armata przeciwlotnicza)', '20-mm-Flak 30 (armata przeciwlotnicza)', '20 mm Flak 30 (armata przeciwlotnicza)', '20 mm Fliegerabwehrkanone 30 (armata przeciwlotnicza)', 'Armata przeciwlotnicza 2 cm Flak 30', 'Armata przeciwlotnicza 20 mm Flak 30']",['Armaty przeciwlotnicze'],['Sd.Kfz. 10/4 (samobieżne działo przeciwlotnicze)'],,,,
Panzerjäger I (niszczyciel czołgów),"['47mm PaK(t) (sf) auf PzKpfw I Ausf. B (niszczyciel czołgów)', '4,7 cm Pak(t) auf PzKpfw I Ausf. B Sd Kfz 101 ohne Turm ""Ente"" (przeciwpancerne działo samobieżne)', '4,7 cm Pak(t) auf PzKpfw 35R (f) ohne Turm (przeciwpancerne działo samobieżne)', 'Jagdpanzer I (niszczyciel czołgów)', 'Niszczyciel czołgów Panzerjäger I', 'Przeciwpancerne działo samobieżne Panzerjäger I', 'Sd.Kfz. 101 (niszczyciel czołgów)']",['Niszczyciele czołgów'],,,,,
"3,7 cm PaK 36 (armata przeciwpancerna)","['3,7-cm-PaK 35/36 (armata przeciwpancerna)', '3,7 cm Panzerabwehrkanone 36 (armata przeciwpancerna)', '37 mm PaK 35/36 (armata przeciwpancerna)', '37 mm PaK 36 (armata przeciwpancerna)', '37 mm Panzerabwehrkanone 36 (armata przeciwpancerna)', 'Armata przeciwpancerna 3,7 cm PaK 36', 'Armata przeciwpancerna 37 mm PaK 36']",['Armaty przeciwpancerne'],,,,,
Maczuga (broń obuchowa),"['Maczugi (broń obuchowa)', 'Matteuca']",['Broń obuchowa'],,,,,
Kiścień (broń obuchowa),"['Basaryk', 'Kiścienie', 'Masłak']",['Broń obuchowa'],,,,,
Młot rycerski,"['Młot lucerneński', 'Młoty rycerskie']",['Broń obuchowa'],,,,,
Kapalin,"['Eisenhut', 'Kettle hat', 'Kłobuczek', 'Kupalin', 'Pilleus ferreus', 'War hat']",['Hełmy (wojsko)'],,,,,
PZL-104 Wilga (samolot),"['Gelatik (samolot)', 'PZL 104 (samolot)', 'PZL-104 (samolot)', 'PZL Gelatik (samolot)', 'PZL Wilga (samolot)', 'Wilga (samolot)']","['Samoloty sportowe', 'Samoloty wojskowe wielozadaniowe']",,,,,
Mikasa (pancerniki),,['Pancerniki (okręty)'],,,,,
Vis (pistolet),"['9 mm Pistole 35(p)', 'P.35(p)', 'Pistole 35(p)', 'Pistolet P.35(p)', 'Pistolet Vis', 'Pistolet Vis wz. 35', 'Pistolet Vis wzór 35', 'Vis wz. 35', 'Vis wzór 35']",['Pistolet'],,,,,
Znaki rozpoznawcze (sprzęt wojskowy),"['Oznakowanie okrętów wojennych', 'Oznakowanie pojazdów wojskowych', 'Oznakowanie samolotów wojskowych', 'Oznakowanie sprzętu wojskowego', 'Znaki rozpoznawcze na okrętach wojennych', 'Znaki rozpoznawcze na pojazdach wojskowych', 'Znaki rozpoznawcze na samolotach wojskowych', 'Znak rozpoznawczy (sprzęt wojskowy)']",['Znaki graficzne'],"['Informacja wizualna', 'Sprzęt wojskowy']",,,,
Lim-6 (samolot wojskowy),"['Lim-6 (samolot myśliwsko-szturmowy)', 'Lim-6Bis (samolot wojskowy)', 'Lim-6BisR (samolot wojskowy)', 'Lim-6M (samolot wojskowy)', 'Lim-6MR (samolot wojskowy)', 'Lim-6R (samolot wojskowy)', 'Samolot Lim-6', 'Samolot Lim-6Bis', 'Samolot myśliwsko-szturmowy Lim-6']",['Samoloty wojskowe'],,,,,
Rzeczoznawcy ds. zabezpieczeń przeciwpożarowych,"['Rzeczoznawca ds. zabezpieczeń przeciwpożarowych', 'Rzeczoznawcy do spraw zabezpieczeń przeciwpożarowych']",['Zawód'],['Ochrona przeciwpożarowa'],,,,
EUFOR Libya (operacja pokojowa),"['EUFOR Libia', 'EUFOR Libya (military operation)', 'EUFOR Libye', 'EUFOR in support of humanitarian assistance operations in Libya (military operation)', 'Opération de soutien humanitaire pour la Libye', 'Operacja pokojowa UE w Libii']",,['Operacje pokojowe'],,,,
EUBAM Libya (operacja pokojowa),"['EUBAM Libia', 'EUBAM Libya (Border Assistance Mission)', 'EUBAM Libye', 'European Union Integrated Border Assistance Mission in Libya', ""Mission d'assistance de l'Union européenne pour une gestion intégrée des frontières en Libye""]",,['Operacje pokojowe'],,,,
EUCAP Somalia (operacja pokojowa),"['EU Capacity Building Mission in Somalia', 'EUCAP Nestor (2012-2016)', 'EUCAP Somalie', 'Mission de soutien aux capacités maritimes en Somalie']",,"['Operacje pokojowe', 'Piractwo morskie', 'Terroryzm morski']",,,,
Galeony (żaglowce),"['Galeon (żaglowiec)', 'Galeona (żaglowiec)', 'Galleon (sailing ship)']",['Żaglowce'],['Okręty wojenne'],"['Batavia (statek)', 'Mayflower (żaglowiec)', 'Mayflower II (żaglowiec)', 'Solen (okręt)', 'Wodnik (galeon)']",,,
Soleil Royal (żaglowiec),"['Okręt liniowy Słońce Królewskie', 'Okręt liniowy Soleil Royal', 'Słońce Królewskie (żaglowiec)', 'Soleil Royal (1669)', 'Soleil Royal (1670)', 'Soleil Royal (okręt liniowy)', 'Żaglowiec Słońce Królewskie', 'Żaglowiec Soleil Royal']","['Okręty wojenne', 'Żaglowce']",,,,,
Rapier,['Rapière'],['Broń sieczna'],,,,,
System bezpieczeństwa zbiorowego,"['Collective security system', 'Sécurité collective']",,['Bezpieczeństwo międzynarodowe'],,,,
Podstęp wojenny,"['Fortel (sztuka wojenna)', 'Fortele (sztuka wojenna)', 'Podstępy wojenne', 'Zasadzka (sztuka wojenna)', 'Zasadzki (sztuka wojenna)']",['Sztuka wojenna'],,,,,
Planowanie obrony cywilnej w sytuacji zagrożeń,"['CEP (Civil Emergency Planning)', 'Civil Emergency Planning (CEP)', 'Cywilne planowanie kryzysowe', 'Planowanie cywilne w NATO']",,['Obrona cywilna'],,,,
Ochotnicy (wojsko),"['Ochotnicy do wojska', 'Ochotnicy w wojsku', 'Ochotnik do wojsku', 'Ochotnik (wojsko)', 'Ochotnik w wojsku']",,"['Ochotnicza służba wojskowa', 'Poborowi', 'Wojsko', 'Żołnierze']",,,,
Wozy zabezpieczenia technicznego,"['Wóz zabezpieczenia technicznego (WZT)', 'Wóz zabezpieczenia technicznego podstawowy', 'Wóz zabezpieczenia technicznego pomocniczy', 'WZT']",['Pojazdy wojskowe'],['Czołgi specjalne'],,,,
Rosomak (transporter opancerzony),"['Kołowy transporter opancerzony Rosomak', 'KTO Rosomak', 'Transporter opancerzony Rosomak']",['Transportery opancerzone'],,,,,
Suchoj Su-57 (samolot myśliwski),"['Su-57 (samolot myśliwski)', 'S-57 (samolot myśliwski)', 'PAK FA T-50 (samolot myśliwski)', 'Suchoj T-50 PAK FA (samolot myśliwski)', 'Sukhoi Su-57']",['Samoloty myśliwskie'],,,,,
Rozformowanie jednostki wojskowej,['Rozformowanie (jednostka wojskowa)'],,['Jednostki wojskowe'],,,,
Zasłona dymna,"['Maskowanie dymami', 'Smoke screen', 'Zasłony dymne', 'Zasłony dymne czołowe', 'Zasłony dymne maskujące', 'Zasłony dymne nieruchome', 'Zasłony dymne oślepiające', 'Zasłony dymne pozorne', 'Zasłony dymne ruchome', 'Zasłony dymna skrzydłowe', 'Zasłony dymne tyłowe']",['Maskowanie (wojsko)'],['Dym'],,,,
Polemologia,"['Badania nad wojną', 'Polémologie', 'War studies']",,"['Badania nad pokojem', 'Filozofia bezpieczeństwa', 'Filozofia wojny', 'Konflikt', 'Pokój', 'Polityka międzynarodowa', 'Polityka zagraniczna', 'Przemoc', 'Wojna']",,,,
Nuestra Señora de las Mercedes (żaglowiec),"['Fregata Nuestra Señora de las Mercedes', 'Nuestra Señora de las Mercedes (1786)', 'Nuestra Señora de las Mercedes (fregata)', 'Żaglowiec Nuestra Señora de las Mercedes']","['Fregaty (jednostki pływające)', 'Okręty wojenne', 'Żaglowce']",,,,,
Pociski kumulacyjne,"['HEAT (High Explosive Anti Tank)', 'High Explosive Anti Tank (HEAT)', 'Pocisk kumulacyjny', 'Pocisk przeciwpancerny kumulacyjny', 'Pociski przeciwpancerne kumulacyjne']",['Pociski przeciwpancerne'],"['Kumulacja (wybuch)', 'Pancerze (powłoki)']",,,,
Leopard 2 (czołg),"['Czołg Leopard 2', 'Czołg podstawowy Leopard 2', 'Leopard 2AV', 'Leopard 2A0', 'Leopard 2A1', 'Leopard 2A2', 'Leopard 2A3', 'Leopard 2A4', 'Leopard 2A5', 'Leopard 2A6', 'Leopard 2A7', 'Leopard 2PL']",['Czołgi'],,,,,
Przeciwlotnicze pociski rakietowe,"['Pocisk rakietowy przeciwlotniczy', 'Pociski rakietowe przeciwlotnicze', 'Przeciwlotniczy pocisk rakietowy', 'Rakieta przeciwlotnicza', 'Rakietowy pocisk przeciwlotniczy']","['Pociski', 'Rakiety']","['Broń przeciwlotnicza', 'Broń rakietowa']",,,,
Dane taktyczno-techniczne broni,"['Celność broni', 'Dane taktyczne broni', 'Dane techniczne broni', 'Dane techniczno-taktyczne broni', 'Donośność broni', 'Masa broni', 'Osiągi broni', 'Właściwości broni', 'Wymiary broni']",,['Broń'],,,,
Niszczyciele min,"['Mine destroyer', 'Mine destroyers', 'Minehunter', 'Minehunters', 'Niszczyciel min']",['Okręty wojenne'],"['Miny morskie', 'Trałowce']",['Kormoran (niszczyciel min)'],,,
Kormoran (niszczyciel min),"['Kormoran (2015)', 'Kormoran (2017- )', 'Niszczyciel min projektu 258 ORP Kormoran', 'Niszczyciel min typu Kormoran II ORP Kormoran', 'Okręt Rzeczypospolitej Polskiej Kormoran (2015)', 'ORP Kormoran (2015)', 'ORP Kormoran (601)']",['Niszczyciele min'],,,,,
Kaszub (korweta),"['ORP Kaszub (1985)', 'ORP Kaszub (240)', 'ORP Kaszub proj. 620']",['Okręty wojenne'],,,,,
Operacja pokojowa ONZ w Libanie (1978- ),"['Operacja pokojowa w Libanie (1978- )', 'Tymczasowe Siły Zbrojne ONZ w Libanie', 'United Nations Interim Force in Lebanon', 'UNIFIL']",,['Operacje pokojowe'],,,,
Mark I (czołg),"['Czołg Mark I', 'Mark I (Panzer)', 'Mark I (tank)', 'Tank Mark I']",['Czołgi'],,,,,
Trybuni wojskowi (wojsko rzymskie),"['Trybun wojskowy (wojsko rzymskie)', 'Tribunus militum', 'Tribunus militaris']",['Dowódcy'],['Oficerowie'],,,,
Orzeł (okręt podwodny ; 1986- ),"['Okręt podwodny Orzeł (1986- )', 'ORP Orzeł (291)', 'ORP Orzeł (1985)', 'ORP Orzeł (1986- )', 'Okręt Rzeczypospolitej Polskiej Orzeł (1986- )']",['Okręty podwodne'],,,,,
Bunkier V-3 (Mimoyecques),"['Base V3 (Mimoyecques)', 'Bauvorhaben 711 (Mimoyecques)', 'Bunkier V-3 w Mimoyecques', 'Canon of London (Mimoyecques)', 'Forteresse de Mimoyecques', 'Fortress of Mimoyecques', 'Twierdza Mimoyecques', 'V3-Bunker (Mimoyecques)', 'V3-Bunker von Mimoyecques', 'Wiese (Mimoyecques)']",['Bunkry'],"['Broń V', 'Operacja Afrodyta (1944-1945)']",,,,
Działobitnia,['Działobitnie'],['Twierdze i fortyfikacje'],['Działa'],,,,
PTS-M (transporter pływający),"['Amfibia PTS-M', 'Gąsienicowy transporter pływający PTS-M', 'Transporter pływający PTS-M', 'Transporter PTS-M']",['Amfibie'],['Transportery opancerzone'],,,,
Kaman SH-2G Super Seasprite (śmigłowiec wojskowy),"['Morski śmigłowiec wielozadaniowy Kaman SH-2G Super Seasprite', 'SH-2G', 'SH-2G(P)', 'SH-2G Super Seasprite', 'Śmigłowiec Kaman SH-2G Super Seasprite', 'Śmigłowiec SH-2G Super Seasprite']",['Śmigłowce wojskowe'],,,,,
Broń precyzyjnego rażenia,"['BPR', 'Broń precyzyjna']",['Broń'],['Pociski kierowane'],,,,
Operatorzy telefonów alarmowych,['Operatorzy numerów alarmowych'],['Zawód'],"['Dyspozytorzy pogotowia ratunkowego', 'Numery alarmowe', 'System powiadamiania ratunkowego']",,,,
PZL P.6 (samolot myśliwski),"['PZL P.6', 'P.6']",['Samoloty myśliwskie'],,,,,
Park pontonowy,"['Parki pontonowe', 'Przewoźny park pontonowy', 'Samobieżny park pontonowy', 'Specjalny park pontonowy']",['Sprzęt wojskowy'],"['Inżynieria wojskowa', 'Mosty pontonowe', 'Promy', 'Przeprawy wodne']",,,,
Boeing C-97 Stratofreighter,"['Boeing Model 367', 'C-97 Stratofreighter (samolot wojskowy)', 'Stratofreighter (samolot wojskowy)']","['Samoloty transportowe', 'Samoloty wojskowe']",,,,,
Vengeur du Peuple (okręt ; 1766-1794),['Marseillois (okręt ; 1766-1794)'],"['Okręty wojenne', 'Żaglowce']",,,,,
Razem bezpieczniej (program rządowy),"['Razem bezpieczniej im. Władysława Stasiaka (program rządowy)', 'Program ograniczania przestępczości i aspołecznych zachowań „Razem bezpieczniej"" im. Władysława Stasiaka', 'Program rządowy ograniczania przestępczości i aspołecznych zachowań „Razem bezpieczniej""', 'Rządowy program ograniczania przestępczości i aspołecznych zachowań „Razem bezpieczniej""', 'Rządowy program ograniczania przestępczości i aspołecznych zachowań „Razem bezpieczniej"" im. Władysława Stasiaka']",,"['Bezpieczeństwo publiczne', 'Bezpieczeństwo społeczne', 'Polityka bezpieczeństwa', 'Rząd Jarosława Kaczyńskiego (2006-2007)']",,,,
Faà di Bruno (monitor),"['Faà di Bruno (okręt ; 1917-1945)', 'Comandante Faa Di Bruno', 'Monitor Faà di Bruno']",['Okręty wojenne'],,,,,
Medal za Stłumienie Polskiego Buntu 1863-1864,"['Medal za Uśmierzenie Polskiego Buntu 1863-1864', ""Medal' za Usmirenie pol'skogo mâteža 1863-1864"", ""Za Usmirenie pol'skogo mâteža 1863-1864 (medal)"", 'Za Stłumienie Polskiego Buntu 1863-1864 (medal)', 'Za Uśmierzenie Polskiego Buntu 1863-1864 (medal)']",['Medale'],['Powstanie styczniowe (1863-1864)'],,,,
Grom (okręt rakietowy),"['ORP Grom', 'Grom (okręt)', 'Grom (korweta rakietowa)', 'Grom (okręt rakietowy ; 1995-)', 'Okręt rakietowy Grom', 'Korweta rakietowa Grom']",['Okręty wojenne'],,,,,
Orkan (okręt rakietowy),"['ORP Orkan (okręt rakietowy)', 'ORP Orkan', 'Orkan (okręt)', 'Orkan (okręt rakietowy ; 1992-)', 'Orkan (korweta rakietowa)', 'Korweta rakietowa Orkan', 'Okręt rakietowy Orkan']",['Okręty wojenne'],,,,,
Ford FT-B (samochód pancerny),"['Ford inżyniera Tańskiego (samochód pancerny)', 'Ford model 1920 (samochód pancerny)', 'Ford Tf-c (samochód pancerny)', 'Samochód pancerny Ford FT-B']",['Samochody pancerne'],,,,,
Marder I (niszczyciel czołgów),"['7.5cm PaK40/1 auf Geschützwagen Lorraine Schlepper(f)', 'Działo samobieżne Marder I', 'Niszczyciel czołgów Marder I', 'SdKfz.135', 'Sd.Kfz.135']",['Niszczyciele czołgów'],,,,,
Merkawa (czołg),"['Rydwan (czołg)', 'Czołg Merkawa', 'Czołg podstawowy Merkawa']",['Czołgi'],,,,,
Macchi C. 205 Veltro (samolot myśliwski),"['Veltro', 'Macchi MC. 205', 'Samolot myśliwski Macchi C. 205 Veltro']",['Samoloty myśliwskie'],,,,,
Dassault Mirage 5,"['Dassault Mirage 50', 'Mirage 5', 'Mirage 5F', 'Mirage 50', 'Mirage 5MA Elkan', 'Mirage 5PA MARA']",['Samoloty myśliwskie'],,,,,
Suchoj UTB-2 (samolot wojskowy szkolny),"['UTB-2', 'Samolot wojskowy szkolny Suchoj UTB-2', 'Sukhoi UTB-2', 'Suchoj UTB-2', 'Samolot treningowy Suchoj UTB-2']",['Samoloty wojskowe szkolne'],,,,,
